question,answer
How Do I Search Other Members to Arrange an Exchange?,There are two ways to engage other Members in order to find potential exchange partnersnbspExplore PLACES TO GO is the main search engine You initiate the search based on a set of criteria You can perform basic searches or create an advanced search by selecting specific attributesTIME TO GO is a great feature using our proprietary Artificial Intelligence You enter a future date range The date range represents the beginning date and the end date of the time you would like to exchange SENIORHOMEXCHANGECOM AI then matches all other Memberrsquos date ranges with your date range Members are listed in the order of best matches under your date range You can have up to four TIME TO GO date rangesWhen a date range has passed SENIORHOMEXCHANGECOM automatically removes the expired date range from your TIME TO GO date ranges You can add another date range and we then match other Members with the new date range
Performing a PLACES TO GO Search?,You search other Member properties via Explore You can perform a general search or you can perform an advanced search based on a number of criteria attributes A general search includes metropolitan area region or state for the US province for Canada or countryAdvanced searches allow you to include or exclude potential Members based on certain attributes For example if you prefer to exchange with members who have pets you would select the attribute for ldquoMembers who own petsrdquo Or if you are seeking to exchange with only nonsmoking members then you will want to select the attribute for ldquononsmoking MembersrdquoIf you are seeking to exchange with pet owning members who are nonsmokers then you would select both attributes on the advanced search tabIt is very important to complete your profile as much as possible including Personal Profile Property Profile and Exchange Preferences attributes to make it easy for other Members to locate you
How Does TIME TO GO Identify Potential Members for an Exchange?,SENIORHOMEXCHANGECOM uses Artificial Inetelligence technology to search and update all MembersnbspTIME TO GO date ranges It matches other members date ranges compatible to your date ranges and orders them according to best matchFor example it is February and you know you would like to exchange the second week of August of the same year You enter the beginning date range and the ending date range for that weekSENIORHOMEXCHANGECOM AI technology searches all other Membersrsquo date ranges for matches to your date range the second week of August in this example All Member date ranges that most closely match your date range are given a percentage match A match score of 100 means your date range and the date range of that Member are identical Member TIME TO GO matches are listed in descending order highest percentage match to lowestEach Member has the opportunity to create up to four separate TIME TO GO date ranges Then you sit back and let SENIORHOMEXCHANGECOM AI tecnology find you other members with similarnbspTIME TO GO date ranges If you have a current Free Trial or Paying Membership you can view the other Memberrsquos property and public profile and communicate with them via InMail
How Do I Contact Other Members to Arrange an Exchange?,When you want to contact a Member or group of Members through the Explore PLACES TO GO search or a TIME TO GO date range you can send those Members an InMail MessageWhen you click on the Public Profile Image of a Member you will go to their Public Profile page On the Public Profile page you can click on the Send InMail Message buttonWhen you want to send a group message to multiple Members from either the Explore PLACES TO GO or TIME TO GO you select any number or all of the Members from your search result by clicking on the box in the lefthand corner of the Property image Once selected you can click on the Send In Mail button to create a group message A group message window opens Enter your Subject Message amp click the Send buttonYour message will be sent to all the Members you selected Your InMail Message includes your Property Image Everyone receiving your InMail Message can click on your Property Image to view your Public ProfileFree Trial and Paying Members will be able to respond right awayIf your membership has expired you will be prompted to renew to a SixMonth or Annual plan prior to having access to the member portal
What are the Lengths of Exchanges?,"The length of exchange is determined by the Members who agree to exchange their properties The website encourages you to exchange as many times as you likeThere is no limitYou can choose any combination of Exchange Preference durations
	Long Weekends
	One Week
	Several Weeks
	Month or More
Members set their preferences in My Account on the Exchange Preferences page You can select as many Exchange Preference durations that apply to you Searches can be conducted by selecting the type of exchange duration you are interested in by using the Advance Search feature on the Explore Places to Go search page"
How Do I Arrange an Exchange?,Once you have received a response from another Member who is interested in an exchange we recommend you send at least two or three additional InMail correspondence specifically to that Member discussing the time month season year etc and duration of your exchangeOnce you have established a good dialog you will want to communicate directly via your personal email Facebook account phone FaceTime Skype Teams What39s App ampor Zoom to continue the dialog
Do Members Exchange Their Vehicles as Part of an Exchange?,Some Members do others donrsquot It is an individual choice and depends on the circumstances of the two exchanging Members It can be a highly beneficial option and certainly a cost saving benefit for both exchange Members Ultimately it is at the sole discretion and agreement between the exchanging Members
What Must You Do to Prepare Your Home?,In general prepare your Home in the way you would want it prepared for you You want your Exchange Partners to feel at home comfortably living there for the term of exchangeYou want to provide them with the necessary room closet space drawer space amp information for Internet TV etc in order to enjoy the amenities they enjoy when in their own Home You will want to have an Exchange Binder informing your Exchange Partner on how to use the entertainment center TV Cable DVD Stereo etc how to log into your Guest WiFi for Internet access and many other things about your Home while staying thereAs a minimum you should do a little ldquoSpringrdquo cleaning and organize things that should be organizedTo learn more go to the Stories page click on the Serch a Topic link and scroll down to Preparing to read up on Bob39s Blog pertaining to the topic
How Do I Vet Potential Exchange Partners?,Vetting a potential exchange partner is the sole responsibility of each MemberIn general you should have a number of written correspondence several phone conversations and a few facetoface conversations via digital app with your potential exchange partners Common sense applies hereYou will want to know things about the Members you are exchanging with and you will want your potential exchange partners to know similar things about you as wellIf for some reason you are uncomfortable with the Member in the vetting process there is not obligation on your part to go through with the exchange You are free to call it off at any time There is no penalty for aborting a previously arranged exchangeMembers who have agreed to an exchange are absolutely encouraged to Review each other Under normal circumstances this is done after an exchange has occurred or after a potential exchange has been aborted The rating feedback is helpful for all Members to assess future exchanges with other Members By sharing your experience about an exchange and your experience with your exchange partner you help our exchange communityThis topic is covered extensively in Bob39s Blog
How Do We Review Our Exchange Partners?,Members who have completed an exchange are encouraged to review one another Member reviews are an important way we as a community inform each other of our experiences Of course reviews should be done in fairness and commensurate with your exchange experienceIn general only Members who have completed an exchange should be reviewing each other Once an exchange has been completed or a previously arranged exchange has been aborted both Members are encouraged to Review their exchange partnerTo review the Member Go to the Member39s Public Profile page You can get there by going to the Explore Places to Go page select the Country StateProvince City search and click on their property or you can select the Property image from your InMail communication On the Member39s Public Profile page click on the Review This Member button A Review This Member popup window will appear Select the appropriate number of stars for each category make any comments you think will be helpful and click the Submit buttonIf you have reviewed your exchange partner but they have not reviewed you your review will appear in their My AccountReviews section under Review Received They will not be able to see your review of them until they have reviewed youIn general reviews are published only when both exchange partners have reviewed each other If a Member has reviewed you but you have not exchanged with them you have the option delete their review In such cases the review is not published and does not affect your review scoresThere may be exceptions wherenbsp SENIORHOMEXCHANGECOM at its sole discretion may publish a Memberrsquos rating of another Member if the other Member has not responded in a reasonable time period or for other reasons including but not limited to a violation ofnbsp the website Terms of Use policy
Why Are the Changes I Am Making to My Account Pages Not Being Saved?,Anytime you are editing information or adding information to sections of your My Account you must click on the Create Save or Submit button at the bottom of the page depending upon which page your are editing in order to save the changes you have made When you are done making changes be sure to scoll down the page if the Finish Save or Update button is not already visable and click it You know your information is saved when you get a green message confirming that your changes have been savedWhen you are uplaoding a Photo Image to your My Profile page the image does not appear on your page until you have clicked on the Save buttonWhen you are uplaoding a Photo Image or Video of your property to your Create Manage Properties page the image does not appear on your page until you have clicked on the Create buttonWhen you are uplaoding a Photo Image or Video of your property to your Edit Manage Properties page the image does not appear on your page until you have clicked on the Update buttonIf you do not want to save the changes simply click on any part of the website that takes you to another page and the changes will not be applied If you have made changes in the My Account section you will be prompted before you leave the page If you click Leave Page your changes will not be saved If you want your changes saved click on the Stay On Page button and then click on the Finish Save or Update button to save your changes
Why Can't I See My Public Profile When I Search Explore Places to Go?,As a Member you can always see your Public Profile when you are logged into your account Go to My Account  Manage Properties Click on the View icon It will display your Public Profile Your Public Profile is what other Members see when they search for you either through Explore PLACES TO GO or via TIME TO GO date range matchesHowever when you search Explore Places to Go you will not see your Public Profile The website knows you are logged in and assumes you are looking for other Member Profiles to exchange with not yoursWhen nonMembers visits the website they can see any number of Member properties at the Explore Places to Go page However if they click on a specific Member Property they are directed to the Log In page rather than the Member39s Public Profile If they are not currently a Member they can Click on the Join link or Join icon to become a Membernbsp
What Fields Must I Populate to Complete My Account Setup?,"SENIORHOMEXCHANGECOM is designed to maximize your abilty to attract potential Exchange Partners And we have done so without exposing your personal informationThat is why we provide you though our Messages section an ability to communicate with other Members individually or in groups via InMail Only when you have fully vetted a Member on a potential exchange do you want to take your communications outside SENIORHOMEXCHANGECOM It is very important to provide as much information about yourself and your exchange interests to enhance your attraction to other Members as a potential exchange partner To help you we have established a  of Profile Completed You should seek to achieve 100 of Profile CompletedSo how do we calculate  of Profile CompletedHere is how you get to 100
	
	You achieve 50 for successfully Joining My Profile required fields amp one Manage Properties required fields
	
	
	10 is added by uploading a Personal Profile Image You can upload an image by clicking on the Personal Profile Image at the left of the My Account page
	
	
	10 is added by populating the About Us field on the My Profile page
	
	
	10 is added by uploading at least one Property Gallery Image from your Manage Properties page You can upload an image by going to the Manage Properties page clicking on the Edit button for your property and scrowling down to the Gallery Image section and click on the Choose File button Note your image will not be shown until you click the Update button
	
	
	10 is added by clicking on at least one Exchange Preferences Check Box on the Exchange Preferences page Exchange Preferences indicate the types of exchange timeframe you are willing to make The more exchange timeframes you select obviously improves your chances of finding exchange partners
	
	
	10 is added by populating the Exchange Location Interest filed on the Exchange Preferences page
	
Remember the more other Members know about you the more likely you will find others to exchange withnbsp"
What Is Involved in Populating My Exchange Preferences?,"SENIORHOMEXCHANGECOM is designed to maximize your abilty to attract potential Exchange Partners And we have done so without exposing your personal information That is why we provide you though our Messages section an ability to communicate with other Members individually or in groups Only when you have fully vetted a Member on a potential exchange do you want to take your communications outside SENIORHOMEXCHANGECOM Once you have successfully joined as a new Member you have full access to the website It is important to populate additional information to complete your profile informationThat includes Exchange Preferences From My Account click on the Exchange Preferences button There are three groups of information available to share with potential Exchange Partners
	Member Preferences  Personal attributes that help Members know something about you
	Exchange Preferences  This is one of the most important fields to populate because it shows what timeframes you are interested or willing to exchange
	Exchange Location Interest  This field is helpful to share details about your exchange interests
Obviously the more information you make available to prospective exchange partners the better your chance of finding exchanges"
"If I Own Two Properties, Can I List Only My Vacation Home?",In short YESSENIORHOMEXCHANGECOM allows you to list two properties at no additional charge However if you have a vacation property and you only want to list it why notWe do not require you to list your home property We only require that one property be listed You decide which home you want to list if you have that choiceIn fact some of our Members chose to use their vacation home as leverage to travel elsewhere rather than feeling the need to always go to that home It is a perfect way to see new places and enjoy new experiences
Is SENIORHOMEXCHANGE.COM only for Seniors?,Not exactly We chose SENIORHOMEXCHANGECOM for our website because we used to belong to a website by that name years ago It was available we liked the name and we went with itSENIORHOMEXCHANGECOM is ideally designed for people fifty and over Generally we are empty nesters have flexibility and want to travel whether to visit our kids other family members friends or just want to go places now that we canOur Members like to maximize their travel budget and recognize staying in someone elses home is an experience that has come of ageOf course anyone can Join SENIORHOMEXCHANGECOM and if they do we assume they value using their home as a means to travel As you interact with other Members you will get to know them In the end your decision to exchange with another Member is between the two of you Once you get to know each other regardless of age or any other factor you39ll know if they are people you would like to exchange withOur commitment is building a community of likeminded people who share the same sense of adventure desire to travel and want to live it out
What is the Best Way to Use TIME TO GO?,"Using our proprietary Artificial Intelligence technology TIME TO GO is designed to make it easier for Members to connect with one another AND the best way to do that is to connect Members based on when you are available to travel ampor when you want to travelThere are two main ways to utilize TIME TO GO
	Ridged Dates  Create a date range based on dates you are available to travel For example not everyone is retired that belongs to the SENIORHOMEXCHANGECOM community Some Members have certain dates for vacation or other fixed times off from their place of work Their time off begins on a certain date and they have to be back at work on a certain date These are Ridged Dates where you would like to arrange an exchange
	Flexible Dates  Create a broad date range based on a range of dates you are open to travel Some Members are seasonal workers or if retired only want to travel during certain seasons In these cases you will want to put an extended date range For example teachers generally have the summer off between the end of June and the end of August Such Members will want to put a date range from the end of June to the end of August Then as SENIORHOMEXCHANGECOM captures other Member39s date ranges within your broad date range you can send them InMail Messages to begin a dialog find out which dates are acceptible to them and determine if you can be flexible accepting the other Member39s date range
TIME TO GOnbspis a tool for you to make it easier to arrange exchanges with other Members"
